id,medium
1764,graphite and watercolour on paper
1915,graphite on paper
1916,graphite on paper
1917,graphite on paper
1918,graphite on paper
1919,graphite on paper
1920,graphite on paper
1921,graphite on paper
1922,graphite on paper
1923,graphite on paper
1924,graphite on paper
1925,graphite on paper
1926,graphite on paper
1927,graphite on paper
1928,graphite on paper
1929,graphite on paper
1930,graphite on paper
1931,graphite on paper
1932,graphite on paper
1933,graphite on paper
1934,graphite on paper
1935,graphite on paper
1936,graphite on paper
1937,graphite on paper
1938,graphite on paper
1939,graphite on paper
1940,graphite on paper
1944,line engraving on paper
1945,line engraving on paper
1946,wood engraving on paper
1947,wood engraving on paper
1948,wood engraving on paper
1949,wood engraving on paper
1950,wood engraving on paper
1951,wood engraving on paper
1952,wood engraving on paper
1953,lithograph on paper
1954,lithograph on paper
2838,watercolour on paper. verso: graphite on paper
2858,watercolour on paper. verso: graphite on paper
2839,watercolour and graphite on paper
2840,watercolour on paper
2841,watercolour on paper
2842,watercolour on paper. verso: graphite on paper
2843,watercolour on paper. verso: graphite on paper
2844,watercolour and graphite on paper
2845,watercolour on paper
2846,watercolour on paper
2847,watercolour on paper
2848,watercolour on paper
2849,watercolour on paper
2850,watercolour on paper
2851,watercolour on paper
2852,watercolour on paper
2853,watercolour and graphite on paper
2854,ink and watercolour on paper. verso: graphite on paper
2855,watercolour and graphite on paper
2856,watercolour on paper. verso: graphite on paper
2857,watercolour on paper. verso: graphite on paper
16588,watercolour and graphite on paper. verso: graphite on paper
4887,aquatint on paper
21070,crayon and chalk on paper
5888,ink on paper
6441,graphite on paper
6442,watercolour and graphite on paper
6443,watercolour on paper
6444,graphite on paper
6722,graphite on paper
6723,graphite on paper
6724,graphite on paper
6725,graphite on paper
6726,graphite on paper
6727,graphite on paper. verso: graphite and watercolour on paper
6728,graphite on paper
6729,graphite on paper
6730,graphite on paper. verso: watercolour on paper
6731,graphite on paper
6732,graphite on paper
6733,graphite on paper
6734,graphite on paper
6735,graphite on paper
6948,ink on paper
6949,ink and graphite on paper
6950,ink and graphite on paper
6973,graphite on paper
6974,graphite on paper
7249,ink on paper
7250,ink and graphite on paper
7251,ink and watercolour on paper
7252,ink on paper
7253,ink and watercolour on paper
7254,ink on paper
7255,ink and watercolour on paper
7256,ink and watercolour on paper
7257,ink and graphite on paper
7258,ink and watercolour on paper
7259,ink and watercolour on paper
7260,ink on paper
7261,ink on paper
7262,ink on paper
7263,ink on paper
7264,ink on paper
7265,ink on paper
7266,ink on paper
7267,ink on paper
7268,ink and graphite on paper
7269,ink on paper
7270,ink and graphite on paper
7271,ink on paper
7272,ink on paper
7273,ink and graphite on paper
7274,ink and watercolour on paper
7275,ink on paper
7276,ink on paper
7277,ink on paper
7278,"ink, graphite and watercolour on paper"
7279,ink on paper
7280,ink and watercolour on paper
7281,ink on paper
7282,ink on paper
7283,ink on paper
7284,ink and watercolour on paper
7285,ink and graphite on paper
7286,ink on paper
7287,ink and graphite on paper
7288,ink on paper
7289,ink on paper
7290,ink on paper
7291,ink on paper
7292,ink on paper
7293,ink on paper
7294,ink on paper
7295,ink on paper
7296,ink on paper
7297,ink and graphite on paper
7298,ink and watercolour on paper
7299,ink and watercolour on paper
7300,ink and watercolour on paper
7301,ink on paper
7302,ink on paper
7303,ink on paper
7304,ink on paper
7305,ink on paper
7306,ink on paper
7307,ink on paper
7308,ink on paper
7309,ink on paper
7310,ink on paper
7311,ink on paper
7312,ink on paper
7313,ink and graphite on paper
7314,ink on paper
7315,ink on paper
7316,ink on paper
7317,ink on paper
7318,ink on paper
7319,ink on paper
7320,ink and watercolour on paper
7321,ink on paper
7322,ink and watercolour on paper
7323,ink on paper
7324,ink on paper
7325,ink on paper
7326,ink on paper
7327,ink on paper
7328,ink on paper
7329,ink on paper
7330,ink on paper
7331,ink on paper
7332,ink on paper
7333,ink on paper
7334,ink on paper
7335,ink on paper
7336,ink on paper
7337,ink on paper
7338,ink on paper
7339,ink on paper
7340,ink on paper
7341,ink on paper
7342,ink on paper
7343,ink and watercolour on paper
7344,ink on paper
7345,ink on paper
7346,ink on paper
7347,ink on paper
7348,ink on paper
7349,ink on paper
7350,ink on paper
7351,ink on paper
7352,ink on paper
7353,ink on paper
7354,ink on paper
7355,ink on paper
7356,ink on paper
7357,ink on paper
7358,ink on paper
7359,ink on paper
7360,ink on paper
7361,ink on paper
7362,ink on paper
7363,ink on paper
7364,ink on paper
7365,ink and watercolour on paper
7366,ink on paper
7367,ink on paper
7368,ink on paper
7369,ink on paper
7370,ink on paper
7371,ink on paper
7372,ink on paper
7373,ink on paper
7374,ink and watercolour on paper
7375,ink on paper
7376,ink on paper
7377,ink on paper
7378,ink on paper
7379,ink on paper
7380,ink on paper
7381,ink and watercolour on paper
7382,ink on paper
7383,ink on paper
7384,ink and watercolour on paper
7385,ink on paper
7386,ink and watercolour on paper
7387,ink on paper
7388,ink on paper
7389,ink on paper
7390,ink and watercolour on paper
7391,ink on paper
7392,ink on paper
7393,ink on paper
7394,ink on paper
7395,ink on paper
7396,ink on paper
7397,ink on paper
7398,ink and watercolour on paper
7399,ink on paper
7400,ink on paper
7401,ink on paper
7402,ink and watercolour on paper
7403,ink and watercolour on paper
7404,ink and watercolour on paper
7405,ink on paper
7406,ink on paper
7407,ink on paper
7408,ink on paper
7409,ink on paper
7410,ink on paper
7411,ink on paper
7412,"ink, graphite and watercolour on paper"
7413,ink on paper
7414,ink on paper
7415,ink on paper
7416,ink on paper
7417,ink on paper
7418,ink and watercolour on paper
7419,ink on paper
7420,ink on paper
7421,ink on paper
7422,ink on paper
7423,ink on paper
7424,ink on paper
7425,ink on paper
7426,ink on paper
7427,ink on paper
7428,ink on paper
7429,ink on paper
7430,ink on paper
7431,ink on paper
7432,ink and watercolour on paper
7433,ink on paper
7434,ink on paper
7435,ink on paper
7436,ink on paper
7437,ink on paper
7438,ink on paper
7439,ink and watercolour on paper
7440,ink on paper
7441,ink on paper
7442,ink on paper
7443,ink on paper
7444,ink on paper
7445,ink on paper
7446,ink on paper
7447,ink on paper
7448,ink on paper
7449,ink on paper
7450,ink on paper
7451,ink on paper
7452,ink on paper
7453,ink on paper
7454,ink on paper
7455,ink on paper
7456,ink on paper
7457,ink on paper
7458,ink on paper
7459,ink on paper
7460,ink on paper
7461,ink on paper
7462,ink on paper
7463,ink and graphite on paper
7464,ink on paper
7465,ink on paper
7466,ink on paper
7467,ink on paper
7468,ink on paper
7469,ink on paper
7470,ink on paper
7471,ink on paper
7472,ink on paper
7473,ink on paper
7474,ink on paper
7475,ink on paper
7476,ink on paper
7477,ink on paper
7478,ink on paper
7479,graphite and watercolour on paper
7480,graphite and watercolour on paper
7481,ink and graphite on paper
7482,ink on paper
7483,ink on paper
7484,"ink, graphite and watercolour on paper"
7485,ink and graphite on paper
7486,ink and watercolour on paper
7487,ink on paper
7488,ink and watercolour on paper
7489,ink on paper
7490,watercolour and graphite on paper
7491,ink on paper
7492,watercolour on paper
7493,ink on paper
7494,ink on paper
7495,"ink, graphite and watercolour on paper. verso: graphite on paper"
7496,ink on paper
7497,ink on paper
7498,ink and watercolour on paper
7499,ink and watercolour on paper
7500,"ink, graphite and watercolour on paper"
7501,ink and graphite on paper
7502,"ink, graphite and watercolour on paper"
7503,"ink, graphite and watercolour on paper"
7504,"ink, watercolour and graphite on paper"
7505,"ink, graphite and watercolour on paper"
7506,ink and watercolour on paper
7507,ink and graphite on paper
7508,"watercolour, ink and graphite on paper"
7509,"ink, watercolour and graphite on paper"
7510,graphite and ink on paper
7511,"ink, watercolour and graphite on paper"
7512,"ink, watercolour and graphite on paper"
7513,ink and watercolour on paper
7514,ink on paper
7515,ink and watercolour on paper
7516,ink and graphite on paper
7517,ink and watercolour on paper
7518,ink and watercolour on paper
7519,"ink, watercolour and graphite on paper"
7520,"ink, watercolour and graphite on paper"
7521,ink on paper
7522,"graphite, ink and watercolour on paper"
7523,graphite on paper
7524,graphite and watercolour on paper
7525,ink and watercolour on paper
7526,watercolour and graphite on paper
7527,ink and watercolour on paper
7528,watercolour and graphite on paper
7529,ink and watercolour on paper
7530,ink on paper
7531,ink and graphite on paper
7532,graphite and watercolour on paper
7533,watercolour and graphite on paper
7534,ink and watercolour on paper
7535,graphite and ink on paper
7536,"graphite, ink and watercolour on paper"
7537,ink on paper
7538,"watercolour, ink and graphite on paper"
7539,ink on paper
7540,ink and watercolour on paper
7541,ink and watercolour on paper
7542,ink and watercolour on paper
7543,watercolour and graphite on paper
7544,ink and graphite on paper
7545,ink and watercolour on paper
7546,graphite and watercolour on paper
7547,ink and graphite on paper
7548,watercolour and graphite on paper
7549,watercolour and graphite on paper
7550,ink and graphite on paper
7551,watercolour and graphite on paper
7552,graphite on paper
7553,graphite on paper
7554,graphite on paper
7555,graphite on paper
7556,graphite on paper
7557,"graphite, ink and gouache on paper"
7558,"ink, graphite and gouache on paper"
7559,graphite and watercolour on paper
7560,graphite on paper
7561,"ink, graphite and watercolour on paper. verso: graphite on paper"
7562,graphite on paper
7563,graphite on paper
7564,graphite on paper
7565,graphite on paper. verso: ink on paper
7566,ink and graphite on paper
7567,ink and graphite on paper
7568,ink and graphite on paper
7569,ink on paper
7570,ink on paper
7571,ink and graphite on paper
7572,ink and graphite on paper
7573,ink and graphite on paper
7574,"ink, watercolour and graphite on paper"
7575,ink and graphite on paper
7576,ink and watercolour on paper
7577,ink and gouache on paper
7578,ink and gouache on paper
7579,ink on paper
7580,ink and graphite on paper
7581,"ink, graphite and gouache on paper"
7582,ink and graphite on paper
7583,ink and graphite on paper
7584,ink on paper
7585,ink and graphite on paper
7586,"ink, watercolour and graphite on paper"
7587,"ink, graphite and watercolour on paper"
7588,graphite and gouache on paper
7589,"ink, watercolour and graphite on paper"
7590,graphite and ink on paper
7591,watercolour and ink on paper
7592,watercolour on paper
7593,watercolour on paper
7594,watercolour and graphite on paper
7595,watercolour and ink on paper
7596,"watercolour, ink and graphite on paper"
7597,watercolour and graphite on paper
7598,watercolour and graphite on paper
7599,watercolour and graphite on paper
7600,watercolour and graphite on paper
7601,watercolour and graphite on paper
7602,watercolour on paper
7603,watercolour on paper
7604,watercolour and graphite on paper
7605,"ink, watercolour and gouache on paper"
7606,watercolour and ink on paper
7607,watercolour and ink on paper
7608,"watercolour, ink and graphite on paper"
7609,watercolour and graphite on paper
7610,"watercolour, ink and graphite on paper"
7611,"watercolour, ink and graphite on paper"
7612,"watercolour, ink and graphite on paper"
7613,ink and graphite on paper
7614,"watercolour, ink and gouache on paper"
7615,graphite and gouache on paper
7616,ink and watercolour on paper
7617,"ink, watercolour and graphite on paper"
7618,watercolour and ink on paper
7619,graphite and ink on paper
7620,watercolour and graphite on paper
7621,"watercolour, ink and graphite on paper"
7622,"watercolour, ink and graphite on paper"
7623,watercolour and ink on paper
7624,watercolour and ink on paper
7625,watercolour and ink on paper
7626,"watercolour, graphite and ink on paper"
7627,graphite and gouache on paper
7628,"graphite, gouache and ink on paper"
7629,watercolour on paper
7630,watercolour on paper
7631,watercolour on paper
7632,graphite and ink on paper
7633,ink on paper
7634,graphite and gouache on paper
7635,"ink, watercolour and graphite on paper"
7636,graphite and ink on paper
7637,watercolour and ink on paper
7638,ink and graphite on paper
7639,graphite on paper
7640,ink on paper
7641,ink and graphite on paper
7642,ink on paper
7643,ink and graphite on paper
7644,graphite and ink on paper
7645,ink and graphite on paper
7646,ink and graphite on paper
7647,ink and graphite on paper
7648,ink and graphite on paper
7649,"ink, watercolour and graphite on paper"
7650,ink and graphite on paper
7651,ink and graphite on paper
7652,ink and graphite on paper
7653,"watercolour, ink and graphite on paper"
7654,ink and graphite on paper
7655,"ink, watercolour and graphite on paper"
7656,"watercolour, ink and graphite on paper"
7657,ink on paper
7658,ink and graphite on paper
7659,ink and graphite on paper
7660,ink and graphite on paper
7661,ink and graphite on paper
7662,ink and graphite on paper
7663,ink and graphite on paper
7664,ink and graphite on paper
7665,graphite on paper
7666,ink and graphite on paper
7667,ink and watercolour on paper
7668,"graphite, gouache and ink on paper"
7669,"ink, graphite and watercolour on paper"
7670,"ink, graphite and watercolour on paper"
7671,graphite and ink on paper
7672,ink and graphite on paper
7673,graphite and gouache on paper
7674,graphite and ink on paper
7675,ink on paper
7676,"ink, graphite and watercolour on paper"
7677,ink and watercolour on paper
7678,ink and graphite on paper
7679,ink and graphite on paper
7680,"ink, watercolour and graphite on paper"
7681,ink and graphite on paper
7682,ink and graphite on paper
7683,ink and graphite on paper
7684,"watercolour, graphite and ink on paper"
7685,watercolour and ink on paper
7686,ink and graphite on paper
7687,graphite and ink on paper
7688,"ink, graphite and watercolour on paper"
7689,"watercolour, graphite and ink on paper"
7690,ink and graphite on paper
7691,ink and watercolour on paper
7692,graphite and gouache on paper
7693,graphite and gouache on paper
7694,ink and graphite on paper
7695,"watercolour, graphite and ink on paper"
7696,ink and watercolour on paper
7697,ink and graphite on paper
7698,"watercolour, ink and graphite on paper"
7699,ink and graphite on paper
7700,"ink, watercolour and graphite on paper"
7701,"ink, graphite and watercolour on paper"
7702,ink and graphite on paper
7703,watercolour and graphite on paper
7704,ink and graphite on paper
7705,"watercolour, ink and graphite on paper"
7706,ink on paper
7707,ink and graphite on paper
7708,ink on paper
7709,ink and graphite on paper
7710,"watercolour, ink and graphite on paper"
7711,watercolour on paper
7712,ink and watercolour on paper
7713,watercolour and ink on paper
7714,watercolour and graphite on paper
7715,watercolour and graphite on paper
7716,"watercolour, graphite and ink on paper"
7717,"watercolour, graphite and ink on paper"
7718,"ink, graphite and gouache on paper"
7719,watercolour and gouache on paper
7720,watercolour and ink on paper
7721,ink and graphite on paper
7722,watercolour and graphite on paper
7723,"ink, watercolour and graphite on paper"
7724,"ink, watercolour and graphite on paper"
7725,"graphite, ink, gouache and watercolour on paper"
7726,watercolour and graphite on paper
7727,watercolour on paper
7728,watercolour and graphite on paper
7729,watercolour and ink on paper
7730,ink and graphite on paper
7731,ink and graphite on paper
8341,oil paint on mahogany
8342,oil paint on mahogany
8529,bronze
8530,bronze
8531,bronze
8532,bronze
8533,bronze
8534,bronze
8535,bronze
8536,bronze
8537,bronze
8538,bronze
8539,bronze
8540,bronze
8541,bronze
8542,bronze
8543,bronze
8544,bronze
8545,bronze
8546,bronze
8547,bronze
8548,bronze
8549,bronze
8550,bronze
8551,bronze
8552,bronze
8553,bronze
8554,bronze
8567,wood engraving on paper
8568,wood engraving on paper
8569,wood engraving on paper
8570,wood engraving on paper
8571,wood engraving on paper
8572,wood engraving on paper
8573,wood engraving on paper
8574,wood engraving on paper
8575,wood engraving on paper
8607,oil paint on wood
8608,oil paint on wood
8609,oil paint on canvas
8856,wood engraving on paper
16535,wood engraving on paper
16536,wood engraving on paper
16537,wood engraving on paper
16538,wood engraving on paper
16539,wood engraving on paper
16540,wood engraving on paper
16541,wood engraving on paper
16542,wood engraving on paper
16543,wood engraving on paper
16544,wood engraving on paper
16545,wood engraving on paper
16546,wood engraving on paper
16547,wood engraving on paper
16548,wood engraving on paper
16549,wood engraving on paper
16550,wood engraving on paper
16551,wood engraving on paper
16552,wood engraving on paper
16553,wood engraving on paper
16554,wood engraving on paper
16555,wood engraving on paper
16556,wood engraving on paper
16557,wood engraving on paper
16558,wood engraving on paper
16559,wood engraving on paper
16560,wood engraving on paper
16561,wood engraving on paper
16562,wood engraving on paper
16563,wood engraving on paper
16564,wood engraving on paper
16565,wood engraving on paper
16566,wood engraving on paper
16567,wood engraving on paper
16568,wood engraving on paper
16569,wood engraving on paper
16570,wood engraving on paper
16571,wood engraving on paper
16572,wood engraving on paper
16573,wood engraving on paper
16574,wood engraving on paper
16575,wood engraving on paper
16576,wood engraving on paper
16577,wood engraving on paper
16578,wood engraving on paper
16579,wood engraving on paper
16580,wood engraving on paper
16581,wood engraving on paper
16582,wood engraving on paper
16583,wood engraving on paper
9484,wood engraving on paper
9485,wood engraving on paper
9486,wood engraving on paper
9487,wood engraving on paper
9488,wood engraving on paper
9489,wood engraving on paper
9490,wood engraving on paper
9491,wood engraving on paper
9492,wood engraving on paper
9493,wood engraving on paper
9494,wood engraving on paper
9495,wood engraving on paper
9496,wood engraving on paper
9497,wood engraving on paper
9498,wood engraving on paper
9499,wood engraving on paper
20509,wood engraving on paper
9500,wood engraving on paper
9501,wood engraving on paper
9502,wood engraving on paper
9503,graphite on paper
12385,graphite on paper
12689,graphite on paper
10318,graphite on paper
10319,graphite on paper
10320,watercolour and graphite on paper
10321,graphite on paper
10327,watercolour on paper
10328,watercolour on paper
10387,watercolour on paper
10388,graphite on paper
10389,graphite on paper
10390,ink and watercolour on paper
12208,wood engraving on paper
12209,wood engraving on paper
12210,wood engraving on paper
12211,wood engraving on paper
12212,wood engraving on paper
12213,wood engraving on paper
12214,wood engraving on paper
12215,wood engraving on paper
12216,wood engraving on paper
12217,wood engraving on paper
12218,wood engraving on paper
12219,wood engraving on paper
12386,oil paint on canvas
12554,ink and watercolour on paper
12749,oil paint on canvas
12750,oil paint on canvas
12751,oil paint on canvas
12763,watercolour on paper
12764,watercolour on paper
12765,watercolour on paper
12766,graphite on paper
12767,ink and watercolour on paper
13095,relief print on paper
13096,graphite on paper
13097,wood engraving on paper
13107,graphite on paper
13108,graphite on paper
13480,oil paint on wood
13481,oil paint on wood
13482,oil paint on wood
13483,oil paint on wood
13484,oil paint on wood
13485,oil paint on wood
13486,oil paint on wood
13487,oil paint on wood
13488,oil paint on wood
13489,oil paint on wood
13490,oil paint on wood
13491,oil paint on wood
13616,ink on paper
13617,ink on paper
13840,graphite on paper
13913,ink and watercolour on paper
13914,ink and graphite on paper
13915,ink on paper
13916,ink on paper
13917,ink and watercolour on paper
13918,ink on paper
13919,ink on paper
13920,ink on paper
13921,graphite on paper
13922,ink on paper
13923,ink on paper
13924,watercolour on paper
14386,watercolour on paper
14387,watercolour on paper
14388,watercolour on paper
14389,watercolour on paper
14390,watercolour on paper
14391,watercolour on paper
14392,watercolour on paper
14393,watercolour on paper
14394,watercolour on paper
14395,watercolour on paper
14396,watercolour on paper
14397,watercolour on paper
14398,watercolour on paper
14399,watercolour on paper
14400,watercolour on paper
14401,watercolour on paper
14402,watercolour on paper
14403,watercolour on paper
14404,watercolour on paper
14405,watercolour on paper
14406,watercolour on paper
14407,watercolour on paper
14408,watercolour on paper
14409,watercolour on paper
14410,watercolour on paper
14411,watercolour on paper
14412,watercolour on paper
14413,watercolour on paper
14414,watercolour on paper
14415,watercolour on paper
14609,oil paint on canvas
14610,mixed media and graphite on paper
14611,etching on paper
14612,etching and mezzotint on paper
14613,etching on paper
14614,etching and mezzotint on paper
14615,etching on paper
14616,etching and mezzotint on paper
14617,etching on paper
14618,etching and mezzotint on paper
14619,etching on paper
14620,etching and mezzotint on paper
14621,etching and engraving on paper
14622,etching and mezzotint on paper
14623,etching and engraving on paper
14624,"etching, mezzotint and drypoint on paper"
14625,etching and engraving on paper
14626,etching and mezzotint on paper
14627,etching and engraving on paper
14628,etching and mezzotint on paper
14629,etching and engraving on paper
14630,etching and mezzotint on paper
14631,etching and engraving on paper
14632,etching and mezzotint on paper
14633,etching and engraving on paper
14634,etching and mezzotint on paper
14635,etching and engraving on paper
14636,"etching, aquatint and mezzotint on paper"
14637,etching and engraving on paper
14638,"etching, aquatint and mezzotint on paper"
14639,etching and engraving on paper
14640,"etching, drypoint and mezzotint on paper"
14641,etching and engraving on paper
14642,etching and mezzotint on paper
14643,etching and engraving on paper
14644,etching and mezzotint on paper
14645,etching and engraving on paper
14646,etching and mezzotint on paper
14647,etching and engraving on paper
14648,etching and mezzotint on paper
14649,etching and mezzotint engraving on paper
14650,etching and engraving on paper
14651,etching and mezzotint on paper
14652,etching and engraving on paper
14653,etching and mezzotint on paper
14654,etching and engraving on paper
14655,etching and mezzotint on paper
14656,print on paper
14657,etching and mezzotint on paper
14658,etching and engraving on paper
14659,etching and mezzotint on paper
14660,etching and engraving on paper
14661,"etching, mezzotint and drypoint on paper"
14662,etching and engraving on paper
14663,etching and mezzotint on paper
14664,etching and engraving on paper
14665,etching and mezzotint on paper
14666,etching and engraving on paper
14667,"etching, aquatint and mezzotint on paper"
14668,etching on paper
14669,etching and mezzotint on paper
14670,etching and engraving on paper
14671,etching and mezzotint on paper
14672,etching and engraving on paper
14673,etching and mezzotint on paper
14674,etching and engraving on paper
14675,etching and mezzotint on paper
14676,etching and engraving on paper
14677,etching and mezzotint on paper
14678,etching and engraving on paper
14679,etching and mezzotint on paper
14680,etching and engraving on paper
14681,"etching, aquatint and mezzotint on paper"
14682,etching and engraving on paper
14683,etching and mezzotint on paper
14684,etching and engraving on paper
14685,etching and mezzotint on paper
14686,etching and engraving on paper
14687,etching and mezzotint on paper
14688,etching and aquatint on paper
14689,"etching, aquatint and mezzotint on paper"
14690,etching on paper
14691,etching and mezzotint on paper
14692,etching on paper
14693,etching and mezzotint on paper
14694,etching and engraving on paper
14695,etching and mezzotint on paper
14696,etching and engraving on paper
14697,"etching, aquatint and mezzotint on paper"
14698,print on paper
14699,"etching, aquatint and mezzotint on paper"
14700,etching and engraving on paper
14701,"etching, mezzotint and aquatint on paper"
14702,etching and engraving on paper
14703,etching and mezzotint on paper
14704,etching and engraving on paper
14705,etching and mezzotint on paper
14706,print on paper
14707,etching and mezzotint on paper
14708,etching and engraving on paper
14709,etching and mezzotint on paper
14710,etching and engraving on paper
14711,etching and mezzotint on paper
14712,etching and engraving on paper
14713,etching and mezzotint on paper
14714,etching and mezzotint engraving on paper
14715,etching and engraving on paper
16041,"watercolour, ink and graphite on paper"
16042,graphite on paper
16043,"watercolour, ink and graphite on paper"
16044,"watercolour, ink and graphite on paper"
16166,ink and watercolour on paper
16171,graphite and watercolour on paper
16167,ink and watercolour on paper
16168,watercolour on paper
16169,graphite and watercolour on paper
16170,ink and watercolour on paper
16393,oil paint on board
16394,oil paint on board
16395,oil paint on board
550,watercolour and ink on paper
551,watercolour and ink on paper
552,watercolour and ink on paper
553,watercolour and ink on paper
554,watercolour and ink on paper
622,graphite on paper
623,graphite on paper
624,graphite on paper
625,graphite on paper
850,graphite and watercolour on paper
851,graphite and watercolour on paper
852,graphite and watercolour on paper
853,graphite and watercolour on paper
854,graphite and watercolour on paper
855,graphite and watercolour on paper
856,graphite and watercolour on paper
857,graphite and watercolour on paper
858,graphite and watercolour on paper
859,graphite and watercolour on paper
860,graphite and watercolour on paper
861,graphite and watercolour on paper
862,graphite and watercolour on paper
863,graphite and watercolour on paper
864,graphite and watercolour on paper
865,graphite and watercolour on paper
866,graphite and watercolour on paper
867,graphite and watercolour on paper
868,graphite and watercolour on paper
869,graphite and watercolour on paper
870,graphite and watercolour on paper
871,graphite and watercolour on paper
872,graphite and watercolour on paper
1870,"graphite, crayon and watercolour on paper"
1871,"graphite, crayon and watercolour on paper"
1872,"graphite, crayon and watercolour on paper"
2249,ink and watercolour on paper
2250,ink and watercolour on paper. verso: ink and watercolour on paper
2251,ink and watercolour on paper
2252,ink and watercolour on paper
2253,ink and watercolour on paper. verso: ink and watercolour on paper
2254,graphite on paper. verso: chalk on paper
2255,ink and watercolour on paper. verso: ink and watercolour on paper
2256,ink and watercolour on paper. verso: graphite on paper
2257,ink on paper. verso: ink and watercolour on paper
2258,ink and watercolour on paper
5627,ink on paper
5628,ink on paper
5629,ink on paper
5630,ink on paper
5631,ink on paper
5632,ink on paper
5633,ink on paper
5634,ink on paper
7073,chalk on paper
7074,chalk on paper
7075,chalk on paper
7076,chalk on paper
7077,chalk on paper
7078,chalk on paper
7079,chalk on paper
12180,"ink, watercolour and gouache on paper"
12181,"ink, watercolour and gouache on paper"
12182,"ink, watercolour and gouache on paper"
12183,"ink, watercolour and gouache on paper"
12184,"ink, watercolour and gouache on paper"
12185,"ink, watercolour and gouache on paper"
12186,"ink, watercolour and gouache on paper"
12187,"ink, watercolour and gouache on paper"
12188,"ink, watercolour and gouache on paper"
12189,"ink, watercolour and gouache on paper"
12190,"ink, watercolour and gouache on paper"
12191,"ink, watercolour and gouache on paper"
12192,"ink, watercolour and gouache on paper"
12193,"ink, watercolour and gouache on paper"
12194,"ink, watercolour and gouache on paper"
12195,"ink, watercolour and gouache on paper"
12196,"ink, watercolour and gouache on paper"
12197,"ink, watercolour and gouache on paper"
12198,"ink, watercolour and gouache on paper"
12199,"ink, watercolour and gouache on paper"
12200,"ink, watercolour and gouache on paper"
12201,"ink, watercolour and gouache on paper"
5572,film
5038,etching and engraving on paper
5166,etching and mezzotint on paper
5382,etching and engraving on paper
5383,etching and mezzotint on paper
5384,mezzotint on paper
5385,etching and engraving on paper
6605,etching and mezzotint on paper
6606,etching on paper
6607,etching and mezzotint on paper
